Date,Sales
2022/9/6,149041.5
2022/9/7,141928.4
2022/9/8,132438.7
2022/9/9,127584.9
2022/9/10,122428.9
2022/9/11,117815.4
2022/9/12,112858.7
2022/9/13,108199.8
2022/9/14,104569.5
2022/9/15,103136.1
2022/9/16,104558.1
2022/9/17,108510.8
2022/9/18,114396.8
2022/9/19,121162.7
2022/9/20,127899.9
2022/9/21,134218.5
2022/9/22,139713.4
2022/9/23,144301.9
2022/9/24,148277
2022/9/25,151738.2
2022/9/26,154131.7
2022/9/27,154714.7
2022/9/28,153930.7
2022/9/29,152886.3
2022/9/30,152019.8
